,Producto,Marca,Cantidad(g),Caloria(kcal),Grasa(g),Carbohidrato(g),Proteina(g)
302,Barra de Cereal Cacao y Avellanas,Muecas,45 ,195,8.6,25.0,5.0
303,Pizzeta Integral de Espinaca con Semillas,Frizata,113 ,231,5.1,32.0,15.0
304,Barra de Cereal Banana y Nuez,Integra,44 ,144,4.8,18.0,7.0
305,Barra de Cereal Almendra y Nuez,Integra,42 ,137,5.0,16.0,7.0
306,Barra de Cereales Chocolate y Naranja,Nat,21 ,86,3.0,13.0,1.8
307,Sopa de Vegetales con Caracolitos Verdes,Knorr,20 ,61,0.0,13.0,2.3
308,Chocolate Relleno con Dulce de Leche,Vauquita,18 ,72,3.5,9.0,1.1
309,Galletas de Arroz Integrales sin Sal,Dos Hermanos,30 ,114,0.7,24.0,2.9
310,Cappuccino Mousse de Chocolate y Avellanas,La Virginia,15 ,62,1.8,8.9,2.7
311,Milanesa de Pollo con Vegetales Grille,Cormillot,220 ,218,4.7,22.0,22.0
312,Pan Negro con Semillas de Lino,Carrefour,50 ,105,1.0,20.0,3.8
313,Galletitas Dietéticas de Avena y Chia,La Zaranda,30 ,100,3.24,14.6,4.17
314,Galletas de Arroz Integral con Sal,Greating,36 ,122,0.8,26.0,2.6
315,Barra de Cereal Frutilla y Yogur,Carrefour,25 ,106,3.8,17.0,1.0
316,Croquetas de Papa y Queso Mozzarella,Granja del Sol,80 ,194,10.0,18.0,8.0
317,Barra de Cereal Pasas y Arándanos,Muecas,45 ,101,2.4,17.3,2.7
318,Yogur Descremado con Cereales de Arroz,Manfrey,160 ,63,0.8,7.9,6.0
319,Pasta de Legumbres Garbanzo y Chía,Wakas,80 ,297,5.0,49.0,15.0
320,Pan de Papa Artesanal con Queso,Pazzi,por 100 ,317,8.9,50.0,9.1
321,Budín Relleno con Dulce de Leche,Bimbo,60 ,227,11.0,29.0,4.0
322,Galletitas Orgánicas de Avena y Miel ,Cachafaz,30 ,119,4.8,17.0,2.2
323,Snack de Arroz Sabor Papas Fritas,Dos Hermanos,25 ,105,4.0,16.0,2.0
324,Snack de Arroz Sabor Jamón Ahumado,Don Marcos,25 ,129,3.0,17.0,2.0
325,Pan de Viena para Pancho Corto,Mimago,40 ,113,0.8,22.8,3.6
326,Barra de Cereal Cajú y Arándanos ,Integra,44 ,145,5.0,18.0,7.0
327,"Maní, Almendras y Castañas de Caju ",Croppers,por 100 ,598,51.0,11.0,24.0
328,Turrón & Maní Sabor Yoghurt de Frutilla ,Arcor,25 ,97,2.0,18.0,1.7
329,Alfajor Glaseado con Dulce de Leche,Dia,40 ,139,3.9,24.0,1.9
330,Te de Rosa Mosqueta y Manzanilla,La Virginia,2 ,0,0.0,0.0,0.0
331,Galletas de Arroz Integral con Sal,Primer Precio,25 ,87,0.6,18.0,2.2
332,Atún Desmenuzado en Salsa de Tomate,Gomes da Costa,60 ,66,3.6,1.5,7.0
333,"Galletitas de Vainilla, Avena y Miel",Canvas,30 ,128,3.5,22.0,2.0
334,Galletitas Dulces con Chips de Chocolate,Carrefour,30 ,136,5.1,20.0,2.4
335,Pan Integral con Semillas de Lino,Murke,50 ,94,1.1,17.0,4.0
336,Salsa Ranch con Mix de Semillas,Dos Anclas,12 ,45,4.8,0.0,0.0
337,Tapas para Empanadas Mix de Semillas,Orali,35 ,113,4.3,16.0,2.5
338,Barra de Cereal Frutilla y Chocolate ,Ser,28 ,82,2.0,17.0,1.4
339,Doble Cuarto de Libra con Queso,McDonald's,268 ,761,49.0,34.0,47.0
340,Barra de Cereal Flow Light Manzana,Georgalos,21 ,59,0.9,12.0,0.8
341,Discos de Arroz Integral sin Sal,Ricediex,8 ,29,0.22,6.02,0.71
342,Pasta Box Salsa Crema de Vegetales,Molino Cañuelas,64 ,224,4.9,36.0,10.0
343,Alfajor Dulce de Leche y Frutilla,Dantelli,40 ,163,6.9,24.0,1.2
344,Galletitas Dulces con Pasas de Uva,Turimar,30 ,124,5.0,16.0,4.0
345,Atún al Natural Libre de Gluten ,La Campagnola,60 ,52,0.6,0.0,12.0
346,Milanesa de Soja a la Napolitana,Cormillot,240 ,303,8.5,46.0,14.2
347,Café Tostado Molido Libre de Azúcar ,Cabrales,por 100 ,418,8.0,76.0,10.0
348,Tostadas de Arroz sin Sal Agregada,Dos Hermanos,30 ,111,0.1,27.0,0.8
349,Pasta de Legumbres Poroto y Chia,Wakas,80 ,287,2.6,50.0,16.0
350,Barra de Maní y Cacao,Zafrán,28 ,150,10.0,8.0,6.1
351,Lomitos de Atún al Natural,La Anónima,60 ,60,0.5,0.0,15.0
352,Caballa en Salsa de Tomate ,Puglisi,60 ,136,9.0,0.0,14.0
353,Pan de Campo Tipo Casero,Veneziana,50 ,120,1.2,25.0,4.4
354,Dulce de Leche sin Azucar,Singluko,por 100 ,37,0.1,7.2,1.9
355,Yogur con Trozos de Duraznos,Dia,por 100 ,168,3.9,28.0,5.3
356,Budín con Chips de Chocolate,Cuquets,60 ,234,9.5,34.0,3.2
357,Tostadas de Arroz con Semillas,Lulemuu,30 ,107,0.9,23.0,1.8
358,Yogurt de Frutilla y Almendras,Felices las Vacas,200 ,160,8.0,19.0,3.0
359,Aceite de Oliva Virgen Extra,La Toscana,13ml ,108,12.0,0.0,0.0
360,Pan de Molde sin Gluten,Kapac,50 ,126,1.7,27.0,0.7
361,Snack de Arroz Sabor Cebolla ,Dia,25 ,101,3.8,17.0,1.8
362,Calamar en Salsa de Tomate,Marechiare,42 ,121,9.7,0.0,7.0
363,Dulce de Leche sin Azucar,Beepure,20 ,43,0.5,12.0,1.19
364,Clara de Huevo en Polvo,Carnave,4 ,13,0.0,0.0,3.0
365,Pan de Mesa con Salvado,Tio Guis,50 ,105,0.5,25.0,5.0
366,"Maní, Almendras & Pasas de Uva",Croppers,15 ,82,6.2,3.1,3.3
367,Hamburguesa de Garbanzo y Calabaza,Granja del Sol,105 ,140,1.6,25.0,6.0
368,Salsa a Base de Tamarindo ,Darama,12 ,4,0.0,1.1,0.0
369,Dulce de Leche + Chocolate Águila ,La Serenísima,20 ,64,1.7,11.0,1.1
370,Leche de Almendras sin Azúcar,Cocoon,200ml ,39,3.2,1.3,1.3
371,Sardinas en Aceite de Oliva,COTO,55 ,128,8.6,0.0,13.0
372,Sopa Sabor Carne de Res,Maruchan,por 100 ,437,17.0,61.0,10.0
373,Barra de Cereal Lemon Pie,Quaker,25 ,85,1.9,15.6,1.5
374,Barra de Cereales Durazno Light,Carrefour,21 ,63,1.6,13.0,1.0
375,Galletas de Avena con Manzana,Quaker,30 ,115,4.6,16.0,2.0
376,Galleta de Avena con Pasas,Quaker,30 ,114,4.2,17.0,1.9
377,Lomos de Atún en Aceite,Gomes da Costa,por 100 ,176,8.5,0.0,25.0
378,Yogs Firme Dulce de Leche,SanCor,125 ,137,3.5,21.0,5.0
379,Galletita de Limón con Chocolate,Havanna,35 ,167,8.0,21.0,1.9
380,Cereal de Maíz Inflado Dulce ,Nikitos,30 ,116,0.0,25.0,0.0
381,Mix de Cereales y Legumbres,Elio,50 ,159,0.7,30.0,8.6
382,Ravioles de Carne y Espinaca,Matarazzo,por 100 ,225,3.9,38.0,9.5
383,Granos de Choclos Amarillos Enteros,Dia,130 ,112,3.0,17.0,5.0
384,Barra de Arroz con Semillas,Lulemuu,12 ,46,2.4,5.5,1.0
385,Yogur Bebible Descremado de Frutilla,Milkaut,200ml ,72,0.8,9.7,6.6
386,Biscuits con Chips de Chocolate,Soriano,30 ,120,1.9,23.0,2.9
387,Bizcochitos con Semillas de Chia,La Cumbre,30 ,143,6.0,20.0,2.9
388,Rebozado de Pollo Tipo Supremas,Granja del Sol,130 ,274,15.0,14.0,20.0
389,Barra de Cereales Manzana Light,Dia,21 ,58,0.9,12.0,0.8
390,Milanesa de Soja Sabor Oregano,Carrefour,83 ,206,4.4,29.0,12.0
391,Budín con Pepas de Chocolate,Fantoche,60 ,153,5.2,35.0,2.5
392,Hamburguesa de Quinoa y Espinaca,Nutree,por 100 ,216,3.6,27.0,4.1
393,Dueto de Arvejas y Choclo,Inalpa,130 ,60,1.0,5.8,7.0
394,Leche de Almendras sin Azúcar,La Serenísima,por 100ml ,13,1.1,0.0,0.6
395,Lomo de Atún al Natural ,La Campagnola,60 ,68,0.4,2.4,14.0
396,Empanada de Jamon y Queso,Frizata,80 ,221,9.6,25.0,8.8
397,Lomitos de Atún al Natural,Cuisine & Co,60 ,60,0.0,0.0,15.0
398,Leche de Soja sin Azúcar ,Silk,200ml ,72,3.0,5.3,6.0
399,Pan de Molde sin Gluten,Carrefour,50 ,149,2.4,30.0,1.0
400,Leche de Almendras sin Azúcar ,La Serenísima,200ml ,26,2.2,0.0,1.1
401,Mantequilla de Mani con Cacao,Le-Fit,15 ,97,7.8,1.9,4.7
402,Vainilla con Dulce de Leche,Shimy,120 ,171,3.6,30.0,4.4
403,Aceite de Oliva Extra Virgen,Lira,13ml ,108,12.0,0.0,0.0
404,Pan de Salvado con Semillas,Noly,50 ,114,1.4,24.0,5.0
405,Mermelada De Higos Con Stevia,Singluko,20 ,6,0.0,1.4,0.1
406,Galletas con Chips de Chocolate ,Tostex,30 ,135,5.0,21.0,1.9
407,Corazones de Jengibre y Miel,Murke,30 ,94,1.2,19.0,1.8
408,Dulce de Leche con Stevia,Las Quinas,20 ,33,0.6,5.8,1.0
409,Galletas de Almendra y Miel,Integra,30 ,121,6.0,13.0,4.0
410,Barra de Semillas y Chocolate,Integra,27 ,98,6.1,6.7,4.0
411,Galletitas De Limón Y Amapolas,Integra,30 ,111,4.3,14.0,4.0
412,Leche de Almendras Sabor Chocolate ,Tratenfu,200ml ,67,4.9,3.2,2.5
413,Milanesa de Soja con Semillas,Frizata,83 ,181,4.1,26.0,9.9
414,Yogurt Powerfood Colchon de Mora,Ser,160 ,83,1.7,11.0,6.0
415,Milanesas De Soja Con Espinaca,Granja del Sol,80 ,203,9.3,19.0,10.0
416,Aceite de Oliva Virgen Extra,Carrefour,13ml ,107,12.0,0.0,0.0
417,Galletitas con Copos de Maiz,Bagley,31 ,136,5.0,20.0,2.9
418,Medallón de Quinoa Y Espinaca,Nutree,100 ,159,3.6,27.0,4.1
419,Ravioles de Espinaca y Pollo,Don Yeyo,por 100 ,236,3.2,44.6,7.2
420,Dulce De Leche Sin Azúcar,Las Quinas,20 ,33,0.5,5.8,1.0
421,Leche de Almendras sin Azúcar ,Pampa Vida,200ml ,60,4.0,4.0,2.0
422,Pasta de Lenteja y Chia,Wakas,por 100 ,337,2.0,56.0,23.0
423,Empanadas de Jamón y Queso,Dia,70 ,184,11.0,15.0,7.3
424,Pepas con Dulce de Membrillo ,Terepin,30 ,126,5.1,18.0,1.6
425,Alfajor Helado Dulce de Leche,Sei Tu,75 ,254,10.4,17.0,11.4
426,Postre Sabor Dulce de Leche,Royal,120 ,98,3.3,12.0,3.6
427,Discos de Arroz Sabor Jamón ,Dos Hermanos,por 100 ,390,11.0,66.0,5.6
428,Medallón de Carne y Soja,La Blanca,69 ,165,13.0,0.0,12.0
429,Galletas de Cereales Inflados Multicereal,Grandiet,por 100 ,387,7.9,69.0,10.0
430,Pan de Molde sin TACC,Cerro Azul,50 ,143,2.7,26.0,3.7
431,Ravioles de Calabaza y Mozzarella,El Sol,por 100 ,229,2.8,40.3,6.2
432,Leche de Almendras y Coco,Tratenfu,200ml ,75,6.2,2.1,2.5
433,Aceite de Oliva Extra Virgen,Marolio,13ml ,118,12.0,0.0,0.0
434,Lomitos de Atún al Natural ,Molto,60 ,79,2.0,0.0,16.0
435,Mantequilla de Maní Twist Chocolate ,Byour Food,17 ,95,7.7,1.9,4.9
436,Budín de Banana y Nuez,Casa Vegana,50 ,181,7.0,26.6,2.9
437,Barra de Cereales con Frutilla,Ser,23 ,61,1.4,14.0,1.2
438,Alfajor con Dulce de Leche,Grandote,40 ,180,7.1,26.0,2.7
439,Barra de Cereal Durazno Light,Cereal Mix,23 ,66,0.7,16.0,1.0
440,Milanesas de Soja Tipo Caseras,Granja del Sol,80 ,232,10.0,26.0,9.9
441,Galletas de Arroz Integral Dulces,Dos Hermanos,30 ,114,0.8,23.0,3.1
442,Ensalada de Atún con Vegetales,Pennisi,60 ,116,8.7,2.4,7.0
443,Cappellettis de Espinaca y Queso,Lucchetti,70 ,249,4.9,44.0,7.1
444,Cereal Fort Dulce de Leche,Felfort,22 ,83,1.8,16.0,0.8
445,Yogur Descremado Batido de Vainilla,Ilolay,125 ,53,0.0,7.5,5.3
446,Mini Arrocitas de Finas Hierbas,Arrocitas,30 ,112,2.1,20.0,2.7
447,Hamburguesa de Soja sin Sal,Vegetalex,75 ,101,4.6,2.2,13.0
448,Chocolate con Dulce de Leche,Milka,30 ,143,7.4,17.0,2.0
449,Leche Descremada + Jugo de Frutas,La Serenísima,por 100ml ,20,0.0,4.4,0.6
450,Alfajor de Arroz Sabor Chocolate,Cereal Mix,25 ,124,6.0,16.0,1.5
451,Alfajor de Quinoa y Arroz,Charinut,27 ,127,5.9,17.0,1.5
452,Milanesa de Soja sin Sal,Vegetalex,80 ,184,3.9,29.0,9.0
453,Galletitas de Agua sin Sal,Fargo,30 ,131,4.0,21.0,3.2
454,Empanada de Espinaca y Queso,El Noble,80 ,220,12.0,22.0,6.5
455,Pasas de Uva con Chocolate,Bariloche,por 100 ,442,16.0,69.0,5.6
456,Caldo de Zapallo con Choclo,Knorr,5 ,14,1.1,0.9,0.0
457,Aceite de Oliva Extra Virgen,Natura,13ml ,108,12.0,0.0,0.0
458,Flan Sabor Dulce de Leche,Ser,95 ,94,0.3,20.0,3.6
459,Sopa Quick Light de Choclo,Knorr,8 ,23,0.0,5.8,0.0
460,Lomitos de Atún al Natural,Vea,60 ,60,0.0,0.0,15.0
461,Atún en Salsa de Tomate,La Campagnola,60 ,161,13.0,0.0,11.0
462,Codos con Salsa de Verdeo,Knorr,70 ,240,1.8,49.0,7.4
463,Tapas de Empanadas Criollas Light,Delicias Doradas ,30 ,100,2.9,16.0,2.2
464,Bizcochos de Arroz Tortita Negra,Gallo,25 ,99,0.0,23.0,1.3
465,Lomitos de Atún al Natural,S&P,60 ,63,0.6,0.0,14.0
466,Snacks Bizcochos de Arroz Dulces,Gallo,25 ,99,0.0,23.0,1.7
467,Chocolate con Dulce de Leche,Shimy,120 ,194,4.7,34.0,4.4
468,Ravioles de Carne y Verdura,La Italiana,125 ,359,7.1,64.0,9.6
469,Milanesa de Soja Sabor Jamón,Vegetalex,85 ,204,2.6,36.0,9.0
470,Aritos de Avena y Miel,Dia,30 ,115,1.0,25.0,1.6
471,Bizcochitos con Semillas de Sesamo,Granix,30 ,146,7.2,17.0,3.3
472,Palitos de Maíz con Queso,Vea,25 ,123,6.8,14.0,1.3
473,Cappuccino Sabor Dulce de Leche,La Virginia,15 ,61,1.3,9.2,3.2
474,Galletitas con Chips de Chocolate,Jumbo,25 ,118,5.3,16.0,1.5
475,Ensalada de Yamani y Tuna,Huertas del Pilar,175 ,474,4.0,95.0,15.0
476,Lomitos de Atún al Natural,Great Value,60 ,63,0.6,0.0,14.0
477,Lomitos de Atún en Aceite,Carrefour,60 ,150,10.0,0.0,15.0
478,Snack de Arroz con Semillas,Twistos,30 ,123,3.5,20.0,2.8
479,Mermelada de Frutos del Bosque,Caroyense,20 ,54,0.0,13.0,0.3
480,Barra de Cereal con Frutas,Royal,23 ,91,1.2,19.0,1.1
481,Galletas de Arroz sin Sal,Macrobiotica,30 ,111,1.0,23.7,2.9
482,Atún en Aceite de Oliva ,La Campagnola,60 ,125,7.0,0.0,16.0
483,Mini Crackers Mix de Cereales,Paseo,30 ,130,4.4,15.0,2.4
484,Yogur Descremado Colchón de Frutas,Ilolay,160 ,94,0.0,18.0,5.6
485,Snacks de Arroz Sabor Salame,Dos Hermanos,25 ,98,2.9,17.0,1.4
486,Mantequilla de Mani con Chocolate ,Byour Food,17 ,95,7.7,1.9,4.9
487,Granola de Trigo Sarraceno Germinado,Crudda,30 ,152,10.5,8.9,5.6
488,Pasta de Trigo Duro Integral,Las Acacias,80 ,266,0.8,56.0,9.0
489,Budín con Chips de Chocolate,Bonafide,60 ,237,11.0,30.0,4.5
490,Tostaditas de Arroz y Garbanzos,Molinos Ala,30 ,96,0.6,20.0,2.7
491,Galletas de Cereales Inflados Multicereal,Grandiet,30 ,118,2.4,21.0,3.0
492,Sardinas en Salsa de Tomate,Carrefour,60 ,54,1.9,0.8,8.0
493,Torrejas de Arvejas con Espinaca,Molé,50 ,141,1.8,26.0,5.0
494,Baño de Repostería con Leche,Aguila,25 ,141,9.0,12.0,2.8
495,Lomo de Atún en Aceite,La Campagnola,60 ,162,10.0,2.4,15.0
496,Alfajor Súper Dulce de Leche,Havanna,70 ,275,12.0,37.0,5.0
497,Harina Integral de Trigo + Legumbres ,Chacabuco,50 ,152,1.3,27.0,8.0
498,Bites de Remolacha y Queso,Frizata,110 ,118,4.0,14.0,6.6
499,Helado de Chocolate sin Azucar,Grido,80 ,121,6.5,11.7,4.0
500,Wok de Carne y Vegetales,Huertas del Pilar,200 ,391,3.6,77.0,14.0
501,Cereales de Arroz Sabor Chocolate,El Federal,30 ,110,0.0,26.0,1.5
502,Chirolas con Chips de Chocolate,Solitas,30 ,139,5.4,21.0,1.6
503,Galletas De Arroz Orgánico Dulces,Dos Hermanos,30 ,110,0.5,24.0,2.4
504,Pan Tipo Artesano De Papa,Bimbo,63 ,168,2.4,30.0,6.6
505,Flow Cereal Piso de Chocolate,Georgalos,24 ,60,2.2,12.0,0.8
506,Empanada de Jamón y Queso,COTO,90 ,209,8.1,23.0,11.0
507,Dulce de Leche con Crema ,Milkaut,20 ,66,1.9,11.0,1.3
508,Alfajor Más Dulce De Leche,Carrefour,60 ,242,9.0,36.0,4.2
509,Atún en Aceite de Girasol ,Molto,60 ,86,4.0,0.0,12.0
510,Snack de Arroz Sabor Queso,Dia,25 ,113,4.6,16.0,1.8
511,Bites de Brócoli y Queso,Frizata,110 ,123,5.0,12.0,7.5
512,Pasas de Uva con Chocolate,Aguila,por 100 ,399,13.0,64.0,5.0
513,Medallón de Soja y Espinaca ,Veggieland,90 ,153,5.0,18.0,8.8
514,Ravioles de Jamón y Queso,Ciudad del Lago,por 100 ,251,3.5,46.0,8.5
515,Pan Tipo Arabe de Salvado,COTO,50 ,116,0.9,24.0,3.4
516,Mantequilla de Maní con Coco,Le-Fit,15 ,87,7.5,0.9,4.0
517,Galletas de Arroz sin Sal,Farmacity,30 ,98,0.5,21.0,2.0
518,Lomitos de Atún en Aceite,Vea,60 ,117,6.0,0.0,15.0
519,Chocolate con Dulce de Leche,Dia,25 ,103,5.0,13.0,1.6
520,Wok de Vegetales y Pollo,Maglia,por 100 ,79,1.7,8.5,7.6
521,Budin con Trocitos de Chocolate,Bagley,60 ,217,8.3,32.0,3.4
522,Galletas de Arroz con Semillas,Rodez,25 ,95,1.8,18.0,2.0
523,Relleno para Tarta de Espinaca,Maglia,por 100 ,36,0.2,6.0,2.5
524,Cereal de Avena y Miel,Quaker,30 ,107,0.4,24.0,1.8
525,Dulce de Leche con Crema ,Danette,por 100 ,168,8.3,19.0,4.2
526,Lomos de Atún al Natural,Marbella,60 ,70,0.0,0.0,17.0
527,Caballa en Salsa de Tomate,La Campagnola,60 ,206,19.0,0.7,7.9
528,Aceite de Oliva Extra Virgen,Cocinero,13ml ,108,12.0,0.0,0.0
529,Magdalenas con Dulce de Leche,Valente,30 ,122,5.0,17.0,1.9
530,Tostaditas de Arroz sin Sal,Molinos Ala,30 ,108,0.0,23.0,2.9
531,Lomitos de Atún al Natural,Gomes da Costa,60 ,81,1.6,0.0,17.0
532,Mini Tableta Semillas de Vida,Orann,50 ,181,4.6,26.0,8.8
533,Galletitas Sabor Milkshake de Frutilla,Oreo,por 100 ,494,23.0,65.0,5.5
534,Aceite de Oliva Virgen Extra,Nucete,13ml ,117,13.0,0.0,0.0
535,Barra de Manzana y Chia ,Zafrán,28 ,140,8.8,11.0,4.1
536,Dulce de Arándano y Membrillo,Masseube,20 ,52,0.0,13.0,0.0
537,Rapideli Tortillas de Trigo Espinaca,Deli Pan,50 ,131,2.9,23.0,3.3
538,Lomitos de Atún al Natural,Carrefour,60 ,63,0.6,0.0,14.0
539,Pan de Viena para Panchos,La Perla,40 ,154,1.1,31.4,4.7
540,Jugo de Naranja sin Pulpa,Citric,200ml ,82,0.0,19.0,1.3
541,Leche de Coco en Polvo,Dicomere,200ml ,126,12.4,1.28,1.12
542,Mayonesa con Aceite de Palta,Hellmann's,12 ,27,2.5,1.1,0.0
543,Leche de Almendras Sabor Vainilla,Vrink,200ml ,62,2.2,9.6,1.0
544,Tostaditas de Arroz sin Sal,Carrefour,34 ,122,0.0,28.0,2.4
545,Milanesa de Espinaca con Avena,Frizata,110 ,221,8.8,28.0,7.5
546,Empanada de Espinaca y Queso,Frizata,80 ,191,4.6,30.0,7.4
547,Galletitas de Avena y Pasas,Tostex,30 ,129,3.6,22.0,2.1
548,Granos de Choclo Amarillo Enteros,Caracas ,130 ,107,1.6,19.0,3.8
549,Leche de Almendras sin Azucar,Vrink,por 100ml ,14,1.2,0.4,0.5
550,Pasta Seca de Trigo Duro,Troncoso,80 ,264,2.7,49.0,11.0
551,Galletas de Avena y Limón ,Integralia,30 ,121,4.2,18.0,2.9
552,Tapa de Empanada sin Gluten,La Salteña,27 ,77,2.5,13.0,0.7
553,Pasta Box Salsa de Quesos,Molino Cañuelas,64 ,230,7.2,35.0,10.0
554,Crema de Caju Finas Hierbas ,Vivet,30 ,64,6.0,2.0,1.0
555,Wrap de Jamón y Queso ,Cañon,200 ,423,23.0,31.0,23.0
556,Aceite de Oliva Extra Virgen,Menoyo,13ml ,108,12.0,0.0,0.0
557,Untable de Almendras Sabor Cheddar,Felices las Vacas,30 ,64,5.4,3.1,1.3
558,Lomitos de Atún al Natural,Caracas ,60 ,38,0.0,0.0,9.6
559,Mix de Cereales y Pasas,Carrefour,30 ,103,0.2,25.0,1.5
560,Medallon de Gluten y Soja,Mi Soja,90 ,144,4.9,17.0,8.1
561,Puré de Papas Receta Completa,Knorr,27 ,99,3.3,15.0,2.8
562,Croquetas de Batata y Queso,The Healthy Kitchen,35 ,51,1.2,8.1,2.1
563,Helado Dulce de Leche Tentación,Freddo,60 ,110,3.7,16.0,3.2
564,Bocaditos de Cereales y Chocolate ,Granix,30 ,130,3.9,22.0,1.6
565,Granola con Chips de Chocolate,Green Mills,40 ,123,4.2,19.0,2.3
566,Barrita de Arroz Chocolate Marroc,Farmacity,12 ,60,3.0,6.6,1.7
567,Barra de Almendras y Coco,Zafrán,28 ,155,11.0,8.5,5.0
568,Milanesa de Soja con Sal,Hausbrot,80 ,122,1.8,19.1,9.1
569,Miel con Salvado de Trigo,Nutresan,35 ,102,3.0,16.0,2.7
570,Barra de Arroz con Chocolate,Arcor,16 ,73,2.9,11.0,0.0
571,Leche de Almendra Sabor Vainilla,Tratenfu,200ml ,150,7.7,16.0,4.0
572,Croquetas de Espinaca y Queso,The Healthy Kitchen,35 ,76,2.1,11.0,3.1
573,Cookies con Chips de Chocolate,Jumbo,30 ,130,6.0,16.0,1.7
574,Sardinas en Salsa de Tomate,Pennisi,60 ,54,1.9,0.8,8.0
575,Budín con Chips de Chocolate,Dale,40 ,153,4.7,25.0,2.7
576,Lomo de Cerdo al Horno ,Bocatti,40 ,55,2.6,0.0,8.0
577,Medallón de Quinoa y Brócoli,Nutree,100 ,216,3.7,28.0,4.4
578,Jugo de Arándanos con Chia,Cuarto Creciente,200ml ,47,1.0,9.5,0.9
579,Mermelada De Ciruela Y Naranja,El Brocal,20 ,52,0.0,13.0,0.1
580,Cookies con Chips de Colores,Mamá Cocina,23 ,84,0.8,18.0,1.3
581,Galletitas de Avena y Coco,Green Mills,33 ,165,7.4,22.0,2.8
582,Pastel de Papa con Carne,Frizata,140 ,220,9.5,21.0,13.0
583,Snacks de Maiz Sabor Queso,Nat,30 ,90,1.4,14.8,1.4
584,Mix de Vegetales y Arroz,Frizata,por 100 ,80,0.2,16.0,3.6
585,Leche de Coco sin Azúcar ,Silk,200ml ,34,3.3,0.8,0.3
586,Pudding de Chocolate con Chips,100 Ducados ,60 ,241,11.0,32.0,3.6
587,Tostaditas de Arroz Sabor Queso,Cooperativa,por 25 unidades ,89,1.2,18.0,1.5
588,Hamburguesa de Soja y Curry ,Nutrileza,90 ,132,0.0,21.0,12.0
589,Snacks a Base de Papa,Ser,22 ,86,1.2,18.0,1.2
590,Galletas de Arroz Integral Dulces,Risky Dit,30 ,114,1.2,23.0,2.6
591,Manjar de Leche con Stevia,Trini,20 ,43,1.4,6.9,1.3
592,Empanada de Humita y Queso,Frizata,80 ,174,3.9,28.0,6.6
593,Ravioles de Carne y Espinaca ,Don Yeyo,por 100 ,229,3.6,41.6,7.5
594,Aceite de Oliva Virgen Extra,Dos Anclas,13ml ,108,12.0,0.0,0.0
595,Hamburguesa de Espinaca y Garbanzo,Nutrileza,90 ,136,1.3,20.0,11.0
596,Empanada de Jamón y Queso,Frizzio,70 ,169,8.4,17.0,6.7
597,Mermelada de Durazno con Semillas,Cuarto Creciente,20 ,10,0.32,1.6,0.2
598,Pan de Molde Blanco Jumbo,Jumbo,50 ,131,1.3,25.0,4.7
599,Pan de Carne con Chauchas,Cormillot,265 ,295,14.9,12.0,35.6
600,Alfajor con Mousse de Chocolate,Sin Culpa,45 ,224,12.0,27.0,2.1
601,Leche de Almendras y Banana,Tratenfu,200ml ,90,6.0,6.0,4.0
602,Dulce de Leche Tradición Argentina,La Serenísima,20 ,62,1.5,11.0,1.5
603,Mini Crackers Mix de Semillas ,Primer Precio,30 ,131,3.3,20.0,3.3
604,Snack de Arroz Sabor Pizza,Don Marcos,25 ,115,4.0,18.0,1.4
605,Ravioles de Espinaca y Mozzarella,Matarazzo,por 100 ,258,7.5,38.0,9.5
606,Lomos de Atún al Natural,Gomes da Costa,60 ,81,1.6,0.0,17.0
607,Barra de Cereal Light Manzana,Royal,21 ,62,0.9,17.0,0.8
608,Ravioles de Pollo Y Verdeo,La Salteña,por 100 ,266,4.7,46.0,9.7
609,Galletas de Arroz Integral Dulces ,Greating,36 ,122,0.8,26.0,2.6
610,Yogs con Trozos de Frutilla,SanCor,180 ,183,4.1,31.0,5.9
611,Milanesa de Soja Tipo Napolitana,Granja del Sol,80 ,210,8.2,24.0,10.0
612,Pan de Mesa Rebanadas Finas,La Salteña,50 ,121,1.2,23.0,4.5
613,Recetas de la Abuela Medialunas,Arcor,30 ,133,4.7,20.0,2.8
614,Sopa Quick Light de Zapallo,Knorr,10 ,31,0.0,6.0,0.6
615,Lomitos de Atún en Aceite,Great Value,60 ,83,3.0,0.0,14.0
616,15 cm Pechuga de Pollo,Subway,234 ,320,5.0,47.0,23.0
617,Galleta de Avena con Granola,Quaker,30 ,116,4.6,16.0,2.3
618,Galletas de Arroz Integral Dulces,Dhum Crack ,33 ,107,0.9,22.0,2.8
619,Copos de Maiz con Miel,Granix,31 ,115,0.1,27.0,1.6
620,Barra de Chocolate con Leche,Nesquik,28 ,143,8.5,14.0,2.6
621,Sandwich de Miga J&Q,Walmart,70 ,120,3.9,12.0,9.2
622,Galletitas de Avena y Miel,Hausbrot,30 ,123,1.4,26.0,3.1
623,Milanesa de Arroz y Vegetales ,Granja del Sol,83 ,190,10.0,22.0,3.1
624,Pan de Mesa Rodajas Finas,La Anónima,50 ,121,1.2,23.0,4.5
625,Aceite de Oliva Extra Virgen,Dia,13ml ,107,12.0,0.0,0.0
626,Galletas de Arroz Integral Dulces,Arrozen,30 ,95,0.6,20.0,2.1
627,Palitos de Arroz Sabor Queso,Dos Hermanos,25 ,117,5.7,14.0,2.0
628,Lomitos de Atún al Natural ,Cumaná,60 ,38,0.0,0.0,9.6
